Unnamed: 0,eventID,posX,posY,layerID,clusterSize,hitID,clusterID,cposX,cposY,posSubX,posSubY,cposSubX,cposSubY,ID,posZ
59498,2226,499.27272727272725,278.3636363636364,2,11,0,8,502.27272727272725,302.3636363636364,498.0,277.0,499.27272727272725,278.3636363636364,8,2
59510,2226,499.2857142857143,244.0,3,7,0,10,488.2857142857143,268.0,499.0,243.0,499.2857142857143,244.0,10,3
59517,2226,504.8181818181818,297.45454545454544,3,11,0,11,493.8181818181818,321.45454545454544,504.0,296.0,504.8181818181818,297.45454545454544,11,3
59529,2226,497.3636363636364,242.45454545454544,4,11,0,13,501.3636363636364,267.45454545454544,497.0,241.0,497.3636363636364,242.45454545454544,13,4
59540,2226,516.5,315.5,4,12,0,14,520.5,340.5,515.0,314.0,516.5,315.5,14,4
59554,2226,495.1818181818182,240.1818181818182,5,11,0,16,481.1818181818182,262.1818181818182,494.0,239.0,495.1818181818182,240.1818181818182,16,5
59565,2226,537.6666666666666,331.5,5,12,0,17,523.6666666666666,353.5,537.0,330.0,537.6666666666666,331.5,17,5
59580,2228,493.2857142857143,255.0,0,7,0,0,487.2857142857143,271.0,493.0,254.0,493.2857142857143,255.0,0,0
59587,2228,490.1111111111111,252.66666666666669,1,9,0,1,495.1111111111111,272.6666666666667,490.0,251.0,490.1111111111111,252.66666666666669,1,1
59596,2228,485.3636363636364,250.54545454545456,2,11,0,2,488.3636363636364,274.54545454545456,485.0,249.0,485.3636363636364,250.54545454545456,2,2
59607,2228,476.1111111111111,251.3333333333333,3,9,0,3,465.1111111111111,275.3333333333333,476.0,250.0,476.1111111111111,251.3333333333333,3,3
59618,2228,467.8888888888889,254.66666666666669,4,9,0,6,471.8888888888889,279.6666666666667,468.0,253.0,467.8888888888889,254.66666666666669,6,4
59629,2228,457.8,257.5,5,10,0,8,443.8,279.5,457.0,256.0,457.8,257.5,8,5
59639,2228,552.0,282.0,5,1,0,9,538.0,304.0,552.0,282.0,552.0,282.0,9,5
59652,2232,513.125,241.125,0,8,0,0,507.125,257.125,513.0,240.0,513.125,241.125,0,0
59661,2232,508.0,238.28571428571428,1,7,0,2,513.0,258.2857142857143,508.0,237.0,508.0,238.28571428571428,2,1
59669,2232,505.2,230.5,2,10,0,4,508.2,254.5,505.0,229.0,505.2,230.5,4,2
59679,2232,502.0,221.7142857142857,3,7,0,5,491.0,245.7142857142857,501.0,221.0,502.0,221.7142857142857,5,3
59687,2232,501.6363636363636,212.45454545454547,4,11,0,7,505.6363636363636,237.45454545454547,501.0,211.0,501.6363636363636,212.45454545454547,7,4
59701,2232,509.54545454545456,211.63636363636363,5,11,0,10,495.54545454545456,233.63636363636363,510.0,210.0,509.54545454545456,211.63636363636363,10,5
59728,2235,514.0,249.0,0,5,0,0,508.0,265.0,514.0,248.0,514.0,249.0,0,0
59733,2235,516.5,246.0,1,6,0,1,521.5,266.0,516.0,245.0,516.5,246.0,1,1
59740,2235,516.7142857142857,241.0,2,7,0,3,519.7142857142857,265.0,516.0,240.0,516.7142857142857,241.0,3,2
